gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
VKORC1L1,12388553,7.00958E-09,1.68399E-08,0.069273117,0.031800094,0.774933621
VLDLR-AS1,12339601.5,2.72004E-07,5.49426E-07,0.051704265,0.019470736,0.783564161
VMAC,12288063,6.07522E-06,1.05548E-05,0.033848505,0.011660058,0.830716922
VMP1,15571653,6.8103E-133,3.4326E-131,2.619282857,1.040623663,0.418864384
VNN1,12077481,0.057145345,0.066290139,0.075136962,0.0988138,1.137367329
VNN2,16907214,1.5375E-242,1.6564E-240,3.502025776,0.962865077,0.294530671
VNN3,12773746.5,3.0353E-18,1.52901E-17,0.266086452,0.126378036,0.61545777
VOPP1,12155403,0.987374621,0.988636368,0.135320097,0.16544134,1.129528872
VPS13B,12207513.5,0.077789559,0.089086927,0.039156361,0.030574355,0.937073252
VPS13C,12214463.5,0.026498268,0.031720635,0.029580971,0.024819866,0.962453486
VPS13D,12190741,0.18746516,0.206777862,0.030271121,0.030368518,1.000763923
VPS16,12224179,0.0041989,0.00540719,0.030811084,0.013290581,0.863159144
VPS18,11946941.5,4.78634E-10,1.27641E-09,0.037631654,0.124506123,1.644200846
VPS25,12214595.5,0.01044037,0.012975565,0.023188544,0.013326338,0.918096887
VPS26A,11777671,3.0382E-23,2.06679E-22,0.038253588,0.174576893,2.006238533
VPS26B,12348479.5,8.06786E-09,1.9257E-08,0.063663704,0.013022378,0.6852391
VPS28,12518123.5,1.56717E-09,4.01767E-09,0.182286159,0.112109148,0.748929062
VPS29,12378929,1.03962E-06,1.97324E-06,0.090754104,0.053762297,0.803212706
VPS33A,12158620,0.891365437,0.899189922,0.045844162,0.045754757,0.999375089
VPS33B,12348865,1.06116E-07,2.2439E-07,0.053208296,0.019302774,0.774613542
VPS33B-DT,12368287.5,9.23703E-10,2.41328E-09,0.045799867,0.011613792,0.760977317
VPS35,11918950.5,1.48317E-05,2.46737E-05,0.118002641,0.22210422,1.483682321
VPS36,12202892,0.039274997,0.046187911,0.02378374,0.016333004,0.938427877
VPS37A,12171968.5,0.465754829,0.489374725,0.021613475,0.023655988,1.017187369
VPS37B,11396111.5,4.71761E-32,4.97688E-31,0.13635943,0.397642049,2.118581158
VPS37C,12189772,0.266217908,0.288040691,0.042110608,0.046812656,1.033746321
