gene,U_statistic_MWU,p_value_MWU,FDR,hbNeutrophils,htNeutrophils,fold_change
A1BG,12234303.5,0.003922001,0.005071827,0.026297447,0.016029772,0.91687572
A2ML1,12281231.5,7.23797E-05,0.000111579,0.0382808,0.018630191,0.854982766
AACS,12317095,0.000232963,0.000337577,0.074033953,0.057581458,0.9039318
AAGAB,12179238,0.256303319,0.278046357,0.018200716,0.023757439,1.048141309
AAK1,12739366.5,8.08737E-18,3.95153E-17,0.211101311,0.107821924,0.665031689
AAMDC,12290276,0.002635995,0.003457562,0.075561251,0.060781801,0.91446374
AARD,12671949,8.59654E-21,5.11343E-20,0.131730904,0.039872995,0.598795686
AARS2,12484333,6.70279E-11,1.92764E-10,0.102764002,0.046445389,0.718390793
AARSD1,12680175.5,2.8303E-19,1.53811E-18,0.144345885,0.062782602,0.662362288
AATF,12209895,0.120077946,0.134882291,0.045956316,0.042189091,0.973689046
AATK,12671691,2.91963E-17,1.37435E-16,0.241698222,0.07090192,0.49606127
ABAT,12403808.5,3.46655E-08,7.73045E-08,0.100396055,0.045445269,0.721937947
ABCA1,11749921,1.99986E-13,7.11969E-13,0.11534553,0.286733919,1.806267766
ABCA2,12338621.5,7.0331E-08,1.52136E-07,0.04524215,0.015802914,0.793360558
ABCA7,12635886,4.26037E-19,2.28643E-18,0.162068828,0.042566865,0.539124478
ABCA9,12261006,3.01485E-05,4.83082E-05,0.023354188,0.007767608,0.870735234
ABCB5,12332720,1.814E-07,3.72347E-07,0.045756321,0.016445544,0.795002085
ABCB9,12979269,1.30768E-31,1.35958E-30,0.228895044,0.068301007,0.507560881
ABCC1,12324950,3.81486E-06,6.77107E-06,0.05330971,0.027741037,0.83014713
ABCC3,13006806.5,1.22834E-38,1.64141E-37,0.198402878,0.031271331,0.434654765
ABCC5,12330237,1.45931E-06,2.71659E-06,0.06828475,0.026133051,0.745321238
ABCC6,12269459,7.4573E-05,0.000114646,0.030413136,0.014710662,0.876976176
ABCD3,12246412.5,0.000736513,0.001017634,0.029987977,0.017277463,0.900084396
ABCD4,12426683.5,7.09583E-11,2.03389E-10,0.068870354,0.022448907,0.720512486
ABCE1,12281236.5,2.91408E-05,4.67806E-05,0.031876509,0.016746549,0.882805281
ABCF1,12079635,0.059759595,0.069127359,0.053951354,0.089181788,1.233042678
ABCF2,12286210.5,3.81458E-06,6.77107E-06,0.03103141,0.008137303,0.821496715
ABCG1,12461911.5,0.000696301,0.000964548,0.38588475,0.425615371,1.082239409
ABHD1,12480565,1.92373E-12,6.30202E-12,0.087270639,0.033631451,0.709265085
ABHD11,12610989.5,4.38451E-19,2.34575E-18,0.113255268,0.028302988,0.59638749
ABHD12B,12169981.5,0.595879314,0.617367929,0.025248796,0.038062313,1.104622922
ABHD13,12247613.5,0.007852757,0.009887935,0.050757652,0.030189688,0.86101054
ABHD15,12536876,1.74193E-13,6.22718E-13,0.113463145,0.044762629,0.673922477
ABHD17A,12327047,0.000269517,0.000387678,0.087972705,0.071071519,0.908739533
ABHD17B,12217696.5,0.01252299,0.015441438,0.033515125,0.014793626,0.856803215
ABHD18,12743271,3.57152E-22,2.30067E-21,0.170815939,0.05304146,0.560609342
ABHD2,13096359,4.63303E-26,3.725E-25,0.480970082,0.219654568,0.548049207
ABHD3,12657619,6.44135E-18,3.16162E-17,0.168599859,0.060976341,0.595133022
ABHD4,12317623.5,0.000121744,0.000182426,0.091624189,0.055913867,0.81090514
ABHD5,11975475,0.003328452,0.004326335,0.146415283,0.233987248,1.359432082
ABI1,12316369.5,0.009207992,0.011506987,0.1768675,0.151362208,0.906946249
ABI2,12397275,1.00865E-08,2.3831E-08,0.072904463,0.036295614,0.78481711
ABI3BP,12323221.5,1.09383E-08,2.57306E-08,0.03671934,0.005376615,0.766001053
ABL2,12907617.5,1.03745E-26,8.61441E-26,0.217821305,0.088232821,0.588667844
ABR,12349461.5,6.41999E-05,9.94677E-05,0.102706304,0.070900248,0.840914702
ABRACL,12202712.5,0.114591805,0.129073022,0.043444732,0.031517681,0.915212109
ABRAXAS1,12281226,2.91853E-05,4.68345E-05,0.036162042,0.018917316,0.870716178
ABT1,12164362,0.739983165,0.75702254,0.037459924,0.037450768,0.999932017
ABTB1,14489359.5,4.85118E-90,1.72778E-88,0.908991218,0.328150571,0.42274741
AC002044.2,12242960.5,0.000297601,0.000425942,0.02366844,0.007905345,0.86961116
AC002306.1,12237664,0.000518931,0.000727499,0.02346559,0.006311426,0.857866047
AC002310.2,12253108,0.000180853,0.000265414,0.026580077,0.00983542,0.864749324
AC002350.2,12297051.5,1.16405E-06,2.19108E-06,0.032390657,0.009139359,0.820612864
AC003681.1,12826197.5,2.71188E-24,1.96583E-23,0.179737582,0.067976042,0.596473545
AC003991.1,12728921.5,2.98959E-19,1.6216E-18,0.173166236,0.08302344,0.666620289
AC004014.2,12291026,1.05801E-06,2.0033E-06,0.031248395,0.007429228,0.814597777
AC004069.1,12270804,1.74145E-06,3.20923E-06,0.031694826,0.002886238,0.776537916
AC004156.1,12264797,0.000187624,0.000274462,0.032055753,0.015382811,0.871032602
AC004241.1,12215734,0.005122442,0.006552439,0.022624201,0.011450626,0.906769346
AC004253.1,12336687,4.48962E-10,1.20174E-09,0.037106026,0.001340497,0.73374987
AC004490.1,12629818.5,3.68602E-20,2.11235E-19,0.113521901,0.02895377,0.598720941
AC004494.1,12363409.5,2.7321E-07,5.51474E-07,0.061036612,0.033803369,0.827922115
AC004528.1,12524926,4.58807E-12,1.45813E-11,0.117828664,0.060239721,0.732210705
AC004584.1,12420199.5,2.59797E-12,8.44022E-12,0.061139468,0.012699702,0.694123876
AC004584.3,12427948.5,1.65551E-12,5.45444E-12,0.060873243,0.012168577,0.691933262
AC004656.1,12299498.5,9.56049E-06,1.62657E-05,0.05240271,0.020011804,0.783522666
AC004687.1,12171132.5,0.721120223,0.738777511,0.102520644,0.102458707,0.99968992
AC004817.3,12381374.5,4.57884E-10,1.22448E-09,0.053879456,0.013391323,0.732051195
AC004846.1,12471180.5,7.62058E-10,2.00371E-09,0.103809332,0.058495051,0.774593788
AC004893.2,12391190.5,2.31666E-09,5.83326E-09,0.063916125,0.024689695,0.756570253
AC004951.1,12310612,1.20931E-05,2.0298E-05,0.057675378,0.027857093,0.807499663
AC004990.1,12239008.5,0.000985358,0.001346354,0.023979063,0.011678739,0.898515188
AC005005.4,13940743.5,1.39368E-75,4.11373E-74,0.495866242,0.131146771,0.385052868
AC005070.3,12365599,3.46784E-10,9.38729E-10,0.056623996,0.010447817,0.699859467
AC005072.1,12435229,7.41027E-12,2.31786E-11,0.067366762,0.020739208,0.716707046
AC005089.1,12510612,5.85106E-14,2.18124E-13,0.094675692,0.033848435,0.683026652
AC005154.1,12776619,2.43654E-20,1.40754E-19,0.226428359,0.097782602,0.602519365
AC005224.3,12465150.5,4.44221E-08,9.79217E-08,0.145605664,0.093682884,0.786176593
AC005253.1,12546127.5,7.25541E-12,2.2715E-11,0.130832572,0.071389304,0.739349196
AC005261.2,12219204.5,0.009504071,0.011863228,0.025117528,0.016168429,0.926851816
AC005330.1,12358134,1.46101E-07,3.03946E-07,0.058689816,0.021137783,0.759149599
AC005332.9,12313777,2.94865E-06,5.29136E-06,0.053663523,0.021957654,0.789871575
AC005342.1,12694401,5.66172E-19,3.00668E-18,0.153960149,0.0657782,0.648935801
AC005358.2,12262258,0.000194527,0.000283982,0.033643881,0.017344515,0.875452257
AC005480.1,12358806.5,2.65426E-09,6.63873E-09,0.05307951,0.013551892,0.737015603
AC005562.1,12280565,2.27386E-06,4.14256E-06,0.027246757,0.00538271,0.824344659
AC005614.1,12237090,0.003054121,0.003983576,0.029979507,0.019416465,0.916959856
AC005616.1,12781347.5,2.05041E-17,9.77459E-17,0.228330164,0.136297832,0.717306085
AC005632.2,12075852,0.036442792,0.04299212,0.054112069,0.094011778,1.263648773
AC005696.4,12491828,3.26102E-13,1.14348E-12,0.088507642,0.034247099,0.707855986
AC005726.2,12276971,0.000616125,0.000857758,0.047361945,0.029724232,0.878012708
AC005726.4,12383846.5,1.42755E-09,3.6663E-09,0.062527347,0.019080961,0.728038343
AC005736.1,12308954,5.47628E-05,8.55693E-05,0.057880383,0.031883948,0.83239451
AC005786.4,12257070.5,4.61158E-05,7.26507E-05,0.025614844,0.005814425,0.838810486
AC005838.2,12230439,0.00281318,0.003681567,0.023618357,0.013383153,0.915301559
AC005839.1,12261139,0.000215204,0.00031316,0.034707004,0.016915117,0.865143032
AC005899.6,12306150,1.00107E-05,1.70048E-05,0.045128179,0.022486422,0.840946074
AC005899.8,12279110.5,2.69808E-06,4.86399E-06,0.027520177,0.006810484,0.833983391
AC005921.2,12309760,5.89925E-07,1.1548E-06,0.037240757,0.013606801,0.824237491
AC005954.2,12286429,7.33726E-06,1.2648E-05,0.03237852,0.016332664,0.876192298
AC006064.1,12480223,1.44379E-12,4.77881E-12,0.08333557,0.026746954,0.686594019
AC006141.1,12404556.5,2.9815E-10,8.12187E-10,0.065305481,0.021517899,0.730587712
AC006305.1,12328340.5,3.84679E-07,7.66424E-07,0.0448403,0.015045569,0.790273703
AC006486.2,12291270,7.88544E-06,1.35172E-05,0.036242106,0.014900693,0.840099265
AC006538.1,12360746,1.69017E-08,3.90238E-08,0.054123456,0.018342146,0.763582523
AC006548.3,12809229,1.11039E-21,6.92505E-21,0.201687434,0.087872832,0.619237049
AC007032.1,11975400.5,1.08858E-08,2.56213E-08,0.030350313,0.10676546,1.598982871
AC007036.2,12295293,1.00928E-07,2.14207E-07,0.031796611,0.004290648,0.786810422
AC007040.2,12267644,4.12573E-06,7.2943E-06,0.024694006,0.004388679,0.833451685
AC007114.1,12232114,0.000937232,0.001284669,0.022978132,0.00812893,0.876465278
AC007114.2,12415391,9.29279E-11,2.63382E-10,0.067825596,0.02163338,0.7201322
AC007216.2,12294050,5.88146E-06,1.02285E-05,0.039177323,0.014799027,0.821275925
AC007216.3,12876049,7.07043E-29,6.44186E-28,0.179229724,0.053472119,0.545105195
AC007272.1,12281138,1.27706E-05,2.13811E-05,0.034598063,0.014531776,0.84777809
AC007283.1,12431666.5,6.56781E-10,1.73591E-09,0.087181024,0.034833423,0.716127855
AC007292.3,12336581,4.59494E-10,1.22802E-09,0.035565832,0.002439036,0.750533131
AC007298.2,12258737,0.000217847,0.000316791,0.035986479,0.023638815,0.907307483
AC007342.5,12296183.5,2.55218E-06,4.62249E-06,0.038812008,0.017915636,0.846391478
AC007388.1,12778063.5,3.03266E-24,2.18916E-23,0.171223845,0.05203809,0.556019834
AC007610.4,12539481.5,2.12764E-16,9.51149E-16,0.08757299,0.023544779,0.65352235
AC007611.1,12274213,7.4627E-05,0.000114695,0.033969871,0.016455922,0.866503838
AC007613.1,12175027.5,0.385886057,0.409953399,0.02059672,0.024068314,1.029464924
AC007620.2,12417256.5,5.39292E-11,1.56188E-10,0.063834654,0.020056461,0.728185681
AC007638.1,12272807,1.17873E-05,1.9808E-05,0.029755956,0.010139822,0.845518513
AC007638.2,12257127,0.000119197,0.000178764,0.026223682,0.01220466,0.886438034
AC007998.4,12271406,4.66726E-05,7.34876E-05,0.034423281,0.011683535,0.827268336
AC008079.2,12973666,2.60242E-29,2.42489E-28,0.243191888,0.08722518,0.541835531
AC008105.3,12837120,2.02818E-15,8.40426E-15,0.343243219,0.245822156,0.778823619
AC008147.2,12574686.5,5.76415E-18,2.83569E-17,0.097356948,0.0245027,0.625584882
AC008267.7,12281355.5,3.15589E-06,5.64327E-06,0.029421644,0.009943969,0.846204
AC008429.1,12224589.5,0.005833255,0.007425318,0.023110084,0.01429592,0.92675288
AC008434.1,12317235,3.53614E-08,7.87546E-08,0.036653155,0.007148029,0.779611329
AC008536.3,12509346,5.99327E-12,1.89008E-11,0.105388342,0.051897129,0.73599302
AC008555.2,12285509,1.86964E-05,3.07528E-05,0.036032638,0.014971448,0.841950796
AC008569.2,12326725,9.85103E-06,1.67401E-05,0.058033006,0.03213623,0.833201167
AC008609.1,12379130,1.13148E-10,3.18077E-10,0.04843348,0.006992797,0.715493279
AC008735.1,12373465,2.28629E-09,5.75849E-09,0.057301506,0.018200835,0.746963869
AC008741.2,12224610.5,0.001167151,0.001582705,0.023780579,0.008168509,0.870980073
AC008758.4,12333365.5,3.54927E-05,5.6462E-05,0.070609843,0.047453606,0.862029239
AC008764.10,12287302.5,1.0659E-06,2.01735E-06,0.029880057,0.006925439,0.819403707
AC008764.6,12303159.5,3.02565E-06,5.42388E-06,0.039876983,0.016438454,0.829042526
AC008770.1,12546588,7.09711E-13,2.41112E-12,0.12101296,0.066405826,0.749781151
AC008870.1,12246069.5,0.000932331,0.001278562,0.031480711,0.017272024,0.889602893
AC008875.1,12304481,1.03542E-06,1.96571E-06,0.039655765,0.012625869,0.802528948
AC008895.1,12405116,2.79657E-09,6.97848E-09,0.071943517,0.031068341,0.758375318
AC008915.1,12371320,3.96237E-08,8.76583E-08,0.059086439,0.024515147,0.778830036
AC008938.1,12520146.5,3.7369E-15,1.5207E-14,0.085389925,0.023013329,0.658424656
AC008969.1,12664959.5,8.14074E-19,4.27575E-18,0.138223593,0.05685821,0.654423311
AC008982.2,12323248,1.08806E-08,2.5616E-08,0.039204835,0.004173429,0.743226793
AC008993.1,12670077.5,1.09254E-20,6.46303E-20,0.128364247,0.039980712,0.608209525
AC009035.1,12432674,1.50594E-12,4.9826E-12,0.064703738,0.016978593,0.705269838
AC009084.2,12437708.5,1.26709E-10,3.54839E-10,0.080905046,0.032725085,0.729522957
AC009088.1,12272886,0.000513655,0.00072022,0.041189752,0.026893076,0.896710977
AC009090.5,12613096,1.61264E-14,6.2751E-14,0.150372862,0.074001803,0.691551442
AC009118.3,12402635.5,1.18162E-08,2.7705E-08,0.076831514,0.03598585,0.765330395
AC009123.1,12309894,3.12058E-08,6.99149E-08,0.030853497,0.005735654,0.803886408
AC009148.1,12317832,4.0188E-06,7.11838E-06,0.046028064,0.023132241,0.840171672
AC009159.4,12399366,7.9567E-09,1.90022E-08,0.071576696,0.030445418,0.756333065
AC009336.3,12298615,1.86966E-07,3.83225E-07,0.032922685,0.005283199,0.787629071
AC009403.1,12863909.5,7.78387E-28,6.81108E-27,0.188100443,0.058037214,0.544157571
AC009407.1,12416532.5,1.12587E-10,3.16602E-10,0.068610555,0.023176915,0.726031198
AC009506.1,12424676,6.32384E-11,1.82231E-10,0.112932589,0.031771869,0.613809329
AC009812.3,13077097.5,2.62999E-35,3.10945E-34,0.256221006,0.088299002,0.524899919
AC009831.5,12468281,1.11885E-12,3.73919E-12,0.083495533,0.025724067,0.680326221
AC009948.5,12217027.5,0.023874906,0.028711848,0.029332941,0.020041134,0.926580338
AC009961.1,12289732.5,3.69434E-06,6.56661E-06,0.035837435,0.014532199,0.839884849
AC009962.1,12248337.5,0.000914052,0.001254692,0.027582807,0.016233374,0.909064382
AC010168.1,12242032,0.001366189,0.001839873,0.03093161,0.015273146,0.877817298
AC010168.2,12377406.5,4.94485E-10,1.31786E-09,0.056000253,0.013955746,0.725602439
AC010173.1,12365222,1.59833E-11,4.8713E-11,0.062804595,0.003293306,0.628122143
AC010328.1,12289835.5,3.63194E-06,6.46103E-06,0.034275108,0.011450441,0.826427918
AC010336.1,12228326,0.004885636,0.006260674,0.026277512,0.015949307,0.916372188
AC010422.2,12344555,2.63463E-08,5.94757E-08,0.051117657,0.013233275,0.744614917
AC010435.1,12250756.5,0.001668353,0.002228694,0.040921226,0.0226839,0.867984906
AC010531.3,12277310,1.88998E-05,3.10459E-05,0.034131338,0.010742841,0.821945553
AC010542.4,12370813,1.06606E-08,2.51323E-08,0.058783769,0.020085718,0.751948766
AC010547.1,12330906.5,2.96399E-07,5.96099E-07,0.046572306,0.018490654,0.804713007
AC010615.2,12421065,2.40599E-11,7.20544E-11,0.066196252,0.014415697,0.68314584
AC010632.2,12253039,0.000182752,0.000267972,0.027729968,0.013157581,0.883378461
AC010913.1,12425569.5,1.12347E-10,3.16031E-10,0.066620144,0.027185313,0.759315763
AC010931.2,12688739.5,8.67143E-23,5.7669E-22,0.123305061,0.027660317,0.566295195
AC010969.2,12287108.5,4.87923E-06,8.55279E-06,0.033512573,0.01050129,0.823988123
AC011287.1,12463043.5,1.61248E-13,5.7884E-13,0.07144139,0.019499563,0.692043144
AC011379.2,12229758,0.004279757,0.005507199,0.025434871,0.014207419,0.908466436
AC011416.3,12372991.5,2.60468E-08,5.88768E-08,0.059316235,0.024968044,0.780579901
AC011447.3,12324768,7.87022E-05,0.000120743,0.073605047,0.052319258,0.87539752
AC011466.4,12248745.5,0.001471605,0.001974741,0.035893941,0.018767961,0.871347835
AC011472.2,12746299.5,4.8782E-18,2.415E-17,0.247904623,0.103487878,0.581557388
AC011498.4,12597764.5,4.30028E-16,1.87476E-15,0.126582997,0.046843383,0.64371344
AC011498.7,12875403,1.09392E-29,1.04297E-28,0.192095448,0.045851628,0.494525681
AC011592.1,12681899.5,1.32212E-22,8.69872E-22,0.124201023,0.028734548,0.56885521
AC011632.1,12249422.5,0.000200714,0.000292915,0.024582172,0.00845075,0.867565397
AC011773.4,12397878.5,1.36426E-11,4.18603E-11,0.054151746,0.01100339,0.714959594
AC012038.1,12499517,1.77542E-16,7.96999E-16,0.0817505,0.015004605,0.627065885
AC012146.1,12316075,2.17759E-05,3.55198E-05,0.056487572,0.032124989,0.84150511
AC012313.1,12218481.5,0.019322353,0.023462857,0.024819483,0.020632956,0.965696578
AC012317.2,13436478.5,2.09618E-52,4.14381E-51,0.359270531,0.09889465,0.429619502
AC012349.1,12485796.5,7.92621E-13,2.67906E-12,0.098739951,0.030695052,0.652769229
AC012358.3,12333312.5,1.23373E-07,2.59165E-07,0.045484927,0.014076879,0.779916146
AC012368.1,12501914,6.39336E-07,1.24614E-06,0.234635401,0.17422162,0.817953976
AC012485.3,12396207,9.84651E-10,2.56629E-09,0.06203116,0.021979621,0.74850796
AC012593.1,12307170.5,5.67228E-06,9.87265E-06,0.043629183,0.019001548,0.825154524
AC012594.1,12406932,7.63304E-12,2.38367E-11,0.062104181,0.012852668,0.690881121
AC012645.1,12233463.5,0.000813596,0.001121084,0.029255902,0.009934193,0.84723559
AC012645.2,12590711,4.64788E-18,2.30761E-17,0.107760952,0.03428095,0.641535582
AC012645.4,12564643.5,1.23365E-06,2.31551E-06,0.336460642,0.287233836,0.88649184
AC012676.4,12291335.5,1.58137E-07,3.27797E-07,0.028390536,0.001870233,0.788876421
AC012676.5,12330099.5,6.42235E-08,1.39466E-07,0.037807859,0.013621573,0.820885306
AC013452.2,12287908,2.2109E-06,4.03212E-06,0.031494733,0.008386454,0.820475367
AC013470.2,12255545,5.50917E-05,8.60365E-05,0.023498886,0.008962463,0.879589037
AC013726.1,12282619.5,3.19325E-05,5.10294E-05,0.037429912,0.013983433,0.825876682
AC015563.1,12333732,1.98135E-08,4.54304E-08,0.042039462,0.012460662,0.787606267
AC015691.1,12368956.5,1.32848E-08,3.09716E-08,0.061202362,0.026763688,0.782621031
AC015802.6,12733663.5,3.247E-25,2.49206E-24,0.137564404,0.028592537,0.535873074
AC015813.3,12471245.5,1.16313E-11,3.58549E-11,0.088427186,0.033819961,0.705862001
AC015849.4,12342548,4.73962E-09,1.1579E-08,0.043249047,0.007629501,0.746432417
AC015871.3,12056271.5,0.004251677,0.0054727,0.045442509,0.103318818,1.405673998
AC015878.2,12218120,0.022034266,0.026613417,0.028325238,0.023291015,0.959902566
AC015883.1,12521342,5.50492E-13,1.89258E-12,0.104264492,0.049179385,0.726609886
AC015912.3,11849658.5,5.22214E-17,2.42248E-16,0.039948154,0.155423108,1.841821776
AC015920.1,12437087.5,2.95926E-12,9.54204E-12,0.067993559,0.018469558,0.700250739
AC016027.2,12317101.5,1.61567E-06,2.99279E-06,0.046328945,0.017429374,0.798684287
AC016065.1,12228761.5,0.002162665,0.002862409,0.024646343,0.008092095,0.864165675
AC016168.3,12266223,0.000162828,0.0002399,0.03317759,0.014857815,0.859513217
AC016705.2,12273761,4.90182E-06,8.59064E-06,0.026532305,0.0047544,0.824026646
AC016734.2,12275710,6.39743E-05,9.9136E-05,0.03764419,0.015548106,0.836165986
AC016745.2,12498353.5,9.92167E-15,3.90479E-14,0.084228615,0.021543835,0.654540135
AC016747.1,12391308,3.42958E-08,7.65592E-08,0.077506001,0.03582934,0.761480378
AC016831.1,11939406,3.93581E-10,1.06141E-09,0.033132941,0.120258388,1.668357905
AC016831.5,12418985.5,1.82033E-08,4.19503E-08,0.099417431,0.057385437,0.78625115
AC016907.2,12265862.5,8.29687E-05,0.000126837,0.03041169,0.012912899,0.862901058
AC016949.1,12178298,0.30915986,0.33208485,0.025501759,0.020509602,0.959322843
AC016957.2,12444117,2.66543E-13,9.40373E-13,0.079917587,0.017415955,0.647166735
AC018362.2,12432446.5,2.28936E-12,7.45728E-12,0.062341701,0.015817193,0.708431372
AC018521.2,12446106.5,1.34394E-13,4.8588E-13,0.064330724,0.011165309,0.670914979
AC018521.5,12221010,0.00682646,0.008634761,0.024580095,0.01209185,0.89747315
AC018521.7,12342792,1.13897E-07,2.40195E-07,0.04708,0.017750949,0.79675586
AC018529.3,12255158.5,0.000973577,0.001330889,0.035019086,0.017988304,0.871216608
AC018628.1,12332235,1.00635E-07,2.13743E-07,0.045967956,0.013307215,0.771910232
AC018629.1,12222554,0.00495094,0.006339645,0.020692807,0.016537108,0.964757523
AC018647.2,12464008,6.08834E-12,1.91726E-11,0.082936865,0.027514987,0.692376509
AC018695.2,12362396.5,1.93882E-10,5.3646E-10,0.046456405,0.00585823,0.717442163
AC018695.7,12467775,3.69207E-11,1.08719E-10,0.08629832,0.03773677,0.735392353
AC018737.2,12525799.5,1.16443E-12,3.88591E-12,0.110339563,0.049894787,0.708789824
AC018755.4,12247696.5,0.001377276,0.001853934,0.034950625,0.021529316,0.898458158
AC018892.3,12331965,3.57702E-08,7.96238E-08,0.042190178,0.013155707,0.79174026
AC019080.4,12315889,4.11912E-08,9.10326E-08,0.03831256,0.006960243,0.768680911
AC019185.2,12373104.5,5.71951E-11,1.65203E-10,0.048034026,0.007277025,0.719417558
AC019205.2,12933074.5,8.35744E-28,7.29816E-27,0.223172363,0.087237493,0.57572975
AC019294.2,12323429.5,7.67901E-05,0.000117851,0.069590991,0.042164929,0.835590471
AC020656.1,12283857,1.26343E-05,2.1157E-05,0.03528068,0.010057813,0.80964623
AC020658.6,12372301.5,1.62626E-10,4.51426E-10,0.046488403,0.009180689,0.740401141
AC020741.1,12450821.5,9.20335E-09,2.18222E-08,0.11083498,0.063939088,0.774603472
AC020743.1,12485354.5,8.55573E-15,3.3811E-14,0.074591555,0.015617177,0.656758693
AC020907.3,12777615.5,9.5946E-25,7.12895E-24,0.157492523,0.051006713,0.581944719
AC020907.5,12227632,0.01033838,0.012852516,0.02835232,0.022710436,0.955072263
AC020911.1,12231788.5,0.002472961,0.003250641,0.025493608,0.015372014,0.917521614
AC020916.1,11042318,8.2596E-111,3.4897E-109,0.047323968,0.42443327,3.608877304
AC020917.3,13488981,2.70231E-51,5.21055E-50,0.398522073,0.132545418,0.46348265
AC020917.4,12443405.5,1.6684E-11,5.07946E-11,0.075248788,0.025416543,0.711072731
AC021016.2,12345719.5,3.22034E-08,7.20937E-08,0.048780681,0.013441634,0.757960376
AC021054.1,12189561,0.14199406,0.158283342,0.023111263,0.017295604,0.951671415
AC021072.1,12351792.5,1.35875E-07,2.84249E-07,0.05481224,0.026764715,0.815521435
AC021078.1,12336132.5,0.016791326,0.020493407,0.246659296,0.258790106,1.035275896
AC021087.3,12584486.5,8.81266E-19,4.61741E-18,0.098272122,0.022833854,0.614119902
AC021752.1,12483814.5,1.04942E-13,3.82287E-13,0.079724631,0.025767598,0.695070427
AC022107.1,12602526.5,4.44723E-20,2.54014E-19,0.099734717,0.019489911,0.592581684
AC022144.1,12758276,2.87908E-23,1.96319E-22,0.162487011,0.051998487,0.574572147
AC022150.2,12328667,7.55021E-08,1.62526E-07,0.043207458,0.015876833,0.805381774
AC022182.2,12376188,1.69949E-09,4.33627E-09,0.05441458,0.020068686,0.773502407
AC022211.4,12441604,1.16516E-14,4.56684E-14,0.054849571,0.005670088,0.676608427
AC022405.1,12281143,0.000288564,0.000413419,0.049285692,0.025587527,0.838249069
AC022431.2,12285044,1.12509E-05,1.89732E-05,0.039041587,0.013486068,0.812458747
AC022497.1,12303062.5,6.89618E-08,1.49305E-07,0.033201686,0.00509396,0.784493281
AC022532.1,12293182.5,5.14136E-05,8.0599E-05,0.042593434,0.020906347,0.844890555
AC022558.2,12379225,2.41935E-09,6.07232E-09,0.056595131,0.022055491,0.775453675
AC022613.2,12257863,0.000186226,0.000272648,0.030657648,0.01233722,0.856739791
AC022710.1,12283484,1.6113E-06,2.98597E-06,0.0280107,0.003566388,0.804812818
AC022819.1,12613287.5,6.26841E-17,2.89226E-16,0.122007847,0.043254441,0.640776575
AC022916.1,12272461,0.001110045,0.001508352,0.048959917,0.028595146,0.86069126
AC022929.2,12254996.5,0.001553217,0.002081016,0.037776486,0.024552987,0.902048893
AC023157.3,12221929.5,0.415275473,0.43928687,0.355757542,0.422327817,1.146960066
AC023355.1,12260915.5,3.06217E-05,4.903E-05,0.025462376,0.011004125,0.882153266
AC023590.1,13041482.5,3.00493E-38,3.96623E-37,0.213692674,0.044633228,0.45625574
AC023632.2,12351678.5,2.58526E-09,6.47366E-09,0.048711037,0.008416887,0.723890821
AC023830.2,12278551.5,6.15218E-06,1.06756E-05,0.028983892,0.006239398,0.81978625
AC024600.1,13255828,9.38199E-49,1.67419E-47,0.273961725,0.049384607,0.394974588
AC024610.2,12274804.5,1.10164E-06,2.08042E-06,0.024622433,0.003551087,0.827067119
AC025048.4,12247679.5,0.000317516,0.000453316,0.027518336,0.010214094,0.861280708
AC025262.2,12340448,0.000103592,0.000156395,0.088253814,0.065793106,0.878903883
AC025268.1,12318087,1.20519E-08,2.82117E-08,0.030718974,0.003617537,0.788176531
AC025419.1,12598726.5,4.75596E-18,2.35622E-17,0.119565655,0.029437397,0.584260433
AC025569.1,12434503.5,4.17829E-11,1.22326E-10,0.072090264,0.024386146,0.718251925
AC025580.3,12922319,2.14004E-23,1.47442E-22,0.262904109,0.134701701,0.644009407
AC025674.2,12332938.5,4.66555E-08,1.02583E-07,0.043695358,0.013585718,0.786335058
AC025678.3,12303320.5,2.64342E-07,5.34702E-07,0.032777663,0.006195098,0.79552218
AC026124.1,12257874,5.99801E-05,9.32819E-05,0.026875856,0.010398985,0.867229502
AC026362.2,12592351.5,1.59692E-18,8.20744E-18,0.106806742,0.022862335,0.588570882
AC026401.2,12242737,0.000109201,0.000164344,0.026491708,0.006503213,0.838432733
AC026401.3,12157456,0.917485029,0.923808816,0.031333675,0.032507608,1.009131531
AC026471.6,12303889.5,0.000708706,0.000980786,0.071569694,0.053795748,0.894700511
AC026803.1,12248353,0.000167527,0.00024636,0.024446169,0.010889801,0.888581493
AC026979.3,12394120,6.38906E-09,1.54078E-08,0.075188659,0.029963584,0.73769365
AC026992.2,12479051.5,2.97421E-15,1.2178E-14,0.073308884,0.010405686,0.63113858
AC027288.3,12231833,0.002458724,0.003233406,0.023693155,0.012840971,0.910251479
AC027290.2,10451375.5,6.96848E-85,2.29242E-83,0.249698708,0.994915372,3.148073629
AC027601.5,12343559,1.05276E-09,2.73554E-09,0.038547746,0.006094868,0.76097567
AC027644.3,12411187.5,1.11963E-08,2.63161E-08,0.119676856,0.043669169,0.649574915
AC027682.7,12417574.5,1.37535E-10,3.83775E-10,0.066037352,0.020968543,0.723947758
AC027796.3,12253386,0.000686518,0.000951762,0.030855338,0.01654112,0.888239914
AC034229.1,12499910,1.25043E-12,4.16439E-12,0.10152737,0.034119359,0.66084344
