gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
RRBP1,682835.5,0.828071044,0.83665743,0.077977029,0.11569657,1.215292262
RREB1,735491,2.52807E-08,5.04784E-08,0.115567269,0.113708698,0.991265776
RRM1,675669.5,0.391259462,0.406312714,0.032373867,0.042088386,1.074958632
RRM2B,688897.5,0.229674227,0.242964463,0.048033189,0.057366149,1.064251044
RRN3,686700,0.314827099,0.32936174,0.02701828,0.036180132,1.073741504
RRNAD1,708404,3.55332E-07,6.24297E-07,0.037604516,0.014578425,0.8292201
RRP1,729875.5,2.47979E-08,4.95856E-08,0.077990105,0.067453656,0.939865478
RRP12,761762,6.80203E-10,1.63369E-09,0.268815845,0.23802939,0.915893281
RRP15,691541.5,0.020894706,0.023809849,0.028054379,0.01835306,0.922562236
RRP36,735514,1.51141E-13,5.68621E-13,0.073474883,0.023036585,0.704519796
RRP7A,840360,1.18144E-30,2.11229E-29,0.406696078,0.233286467,0.655879105
RRS1,702683,7.14623E-08,1.36002E-07,0.036652792,0.003944325,0.755683293
RSAD2,736062,7.91332E-13,2.69984E-12,0.071192425,0.038060012,0.803271511
RSBN1,732175.5,4.74223E-13,1.66097E-12,0.075969269,0.035521332,0.766458515
RSBN1L,822305.5,2.02241E-39,5.86498E-38,0.235055358,0.081088023,0.536633604
RSF1,783843.5,2.4283E-22,2.34969E-21,0.176685416,0.086872265,0.672107011
RSF1-IT1,714140,6.67763E-08,1.27457E-07,0.039325076,0.017602386,0.840917225
RSL1D1,769881,3.30908E-16,1.71783E-15,0.176428651,0.134261991,0.845912041
RSL24D1,755840,8.46745E-13,2.8738E-12,0.14705011,0.10355401,0.821937718
RSPH3,774581.5,4.24065E-21,3.6632E-20,0.120055467,0.07272143,0.782151892
RSPRY1,712392,6.51937E-06,1.00339E-05,0.055444786,0.048660223,0.955560401
RSRC1,701133,0.000372585,0.000488623,0.027782005,0.030305204,1.020184531
RSRC2,727422.5,1.87452E-05,2.76412E-05,0.210016578,0.173481127,0.881085408
RSRP1,661790.5,0.169142958,0.180735714,0.353455341,0.485647164,1.293316457
RSU1,726903.5,6.56794E-05,9.20172E-05,0.183401398,0.175315469,0.971186094
RTCA,724498,3.06702E-09,6.81063E-09,0.077480339,0.036278145,0.76416116
RTCB,731568.5,5.56688E-09,1.20274E-08,0.096945381,0.062831966,0.82431153
RTF1,771562,2.75703E-18,1.78502E-17,0.191810852,0.10955416,0.715409613
RTFDC1,724209,4.47825E-05,6.37022E-05,0.144142004,0.136774985,0.969477877
RTL8A,712486,2.36187E-08,4.73151E-08,0.046887554,0.015658,0.783296771
RTL8C,712543.5,0.000203115,0.000272348,0.063341607,0.069417061,1.037837706
